15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
2,43,70,93,145,160,163,166,169,172
2,30,49,64,113,129,133,133,136,138
0,2,2,5,10,21,23,27,28,31
1,9,14,17,29,32,33,33,33,34
0,1,2,4,8,10,11,12,13,14
2,9,15,17,21,22,22,22,22,23
0,2,6,9,14,17,18,18,20,20
1,5,8,9,16,20,20,20,20,20
0,0,0,0,1,2,2,2,2,2
0,0,1,4,4,5,5,5,5,5
0,0,0,0,0,0,0,0,0,2
