15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
65,1266,2166,2910,4815,7067,8414,9363,9988,10484
19,807,1355,1830,3552,5258,6291,6820,7143,7441
0,68,197,374,857,1792,2687,3456,4063,4711
3,167,298,412,662,941,1066,1175,1235,1289
1,39,66,104,229,507,686,834,1001,1142
17,118,186,265,403,606,731,873,965,1053
1,50,66,113,249,485,669,753,798,833
14,53,76,91,292,499,618,714,763,827
0,35,96,138,246,416,512,596,693,761
0,28,65,86,129,263,336,394,490,543
0,3,4,4,6,29,56,72,87,96
