15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
3,328,518,595,1054,1618,1954,2192,2358,2486
2,251,392,429,791,1199,1439,1579,1658,1744
0,8,17,35,75,222,391,521,594,693
0,34,58,70,166,218,264,311,341,358
1,7,13,15,37,63,92,114,135,169
1,15,28,33,57,90,114,144,161,180
1,7,11,13,35,78,111,131,137,142
1,6,7,9,22,31,41,52,59,62
0,3,8,13,18,30,33,40,44,51
0,2,6,10,20,33,46,59,70,87
0,0,1,1,1,4,6,9,10,13
