15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
1,48,95,118,228,390,483,542,570,590
0,30,62,90,211,400,485,550,576,592
0,3,7,16,38,109,184,275,339,400
0,5,9,11,65,126,161,192,213,227
0,1,1,1,13,25,33,39,47,56
0,3,6,7,16,39,45,55,64,69
0,1,3,4,45,74,84,87,87,89
0,3,3,4,14,16,19,21,23,23
1,1,1,1,2,3,3,3,3,4
0,2,5,9,19,27,30,32,34,43
0,0,0,0,0,0,0,1,1,1
