15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
7,380,643,883,1426,2224,2649,2959,3149,3307
3,245,470,656,1233,1893,2291,2487,2621,2732
0,22,52,86,205,469,743,1019,1193,1360
2,97,153,194,318,508,588,632,655,669
0,14,32,40,99,254,315,362,405,439
3,44,60,74,129,257,311,362,395,426
0,30,53,61,109,242,319,358,369,376
1,31,38,46,130,217,248,274,282,290
0,1,7,10,23,43,54,62,73,82
0,17,33,38,56,91,131,164,187,206
0,2,3,3,4,10,19,28,35,48
