15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
32,517,1035,1289,1827,2345,2676,2925,3063,3192
13,354,711,868,1394,1825,2059,2214,2302,2374
0,37,108,179,285,450,567,698,784,860
4,78,152,188,246,329,357,393,428,451
1,20,32,46,85,162,212,242,269,302
12,53,91,110,145,200,225,258,274,302
1,15,33,46,87,179,246,282,298,308
11,22,36,40,55,85,97,108,115,122
0,8,29,49,78,138,163,178,189,198
0,8,21,30,43,103,127,145,155,161
0,3,4,4,6,26,44,51,57,62
