15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
1,15,22,36,54,81,108,126,139,148
0,7,10,21,34,54,74,91,91,97
0,1,1,2,4,17,23,37,38,47
0,0,1,4,6,9,10,12,12,13
0,0,0,1,4,5,9,12,16,20
0,0,1,2,4,4,10,15,16,19
0,0,0,2,4,9,9,11,11,13
0,0,1,1,3,3,5,8,8,8
0,0,0,1,2,4,6,8,9,9
0,0,0,1,2,4,6,8,9,9
0,0,0,0,0,0,0,0,0,1
