15d,30d,45d,60d,75d,90d,105d,120d,135d,150d
4,191,309,352,652,1052,1323,1470,1563,1653
1,142,213,261,524,883,1127,1244,1308,1381
0,3,7,12,34,70,123,172,191,239
1,21,30,37,64,88,108,123,126,140
0,2,6,9,21,36,49,55,66,83
0,14,21,28,44,57,68,75,80,89
0,1,4,7,20,28,39,44,45,47
1,9,11,14,26,37,42,45,46,50
0,2,5,5,12,17,19,23,26,32
0,0,2,3,7,10,13,19,20,31
0,0,1,1,1,1,1,4,5,7
